2016-12-28 09:08:53,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:09:11,731 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:09:29,736 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:09:47,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:10:05,736 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:10:23,731 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:10:41,733 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:10:59,731 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:11:17,735 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:11:35,733 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:11:53,733 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:12:11,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:12:29,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:12:47,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:13:05,732 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:13:23,733 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:13:41,734 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:13:59,733 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:14:17,734 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:14:35,736 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:14:53,736 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:15:11,738 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:15:29,739 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:15:47,737 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:16:05,737 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:16:23,739 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:16:41,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:16:59,739 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:17:17,738 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:17:35,741 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:17:53,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:18:11,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:18:29,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:18:47,741 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:19:05,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:19:23,740 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:19:41,741 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:19:59,742 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:20:17,743 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:20:35,742 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:20:53,755 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:21:11,743 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:21:29,743 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:21:47,744 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:22:05,743 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:22:23,745 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:22:41,751 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:22:59,749 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:23:17,752 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:23:35,748 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:23:53,754 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:24:11,759 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:24:29,747 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 09:24:47,747 [DEBUG] autotrader.py 65: Out of time, pass
